phase,realization,dt_vs_pred_s,dp_vs_pred_sdeg,sigma_time_s,sigma_slowness_sdeg,occupancy_argmax,degenerate_fit,box_peak_local_max,G1,G2,outcome,g2_loc_time,g2_loc_slow,g2_tight_time,g2_tight_slow,g2_occupancy
PKiKP,0,28.43,6.699,8.02,3.531,0.905,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,1,31.89,6.474,7.8,0.68,0.985,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,2,31.6,5.029,6.43,3.038,0.965,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,3,29.66,2.981,5.31,1.654,1.0,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,4,32.68,7.572,5.96,2.849,0.845,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,5,25.37,6.176,9.6,1.552,0.925,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,6,37.67,8.188,1.96,2.621,0.965,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,7,34.0,2.434,4.49,2.008,0.99,True,True,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,8,33.07,8.038,7.69,0.873,0.8,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,9,32.42,7.921,6.59,1.15,0.83,True,True,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,10,22.94,7.548,13.6,1.208,0.795,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,11,36.64,5.837,2.91,2.222,1.0,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,12,30.33,6.258,7.07,2.957,0.915,True,True,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,13,20.17,6.383,4.53,1.484,0.995,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,14,34.52,7.75,4.54,3.251,0.94,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,15,29.72,8.188,7.73,5.194,0.875,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,16,38.02,7.177,1.72,0.801,1.0,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,17,28.94,6.321,12.14,1.059,0.975,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,18,30.64,6.361,7.5,3.152,0.98,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,19,24.41,6.37,11.24,1.868,0.885,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,20,26.12,6.951,9.88,5.302,0.935,True,True,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,21,33.35,5.115,5.49,1.318,0.855,True,True,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,22,25.87,4.006,7.16,3.455,0.99,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PKiKP,23,24.31,7.759,14.07,1.037,0.86,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PKiKP,24,30.67,8.048,8.22,2.785,0.895,True,True,False,False,NOT-DETECTED,True,False,True,False,True
PcP,0,30.33,1.081,7.8,0.548,0.98,True,True,False,True,DETECTED-G2,True,True,True,True,True
PcP,1,26.87,1.063,9.12,1.789,0.96,True,False,False,False,NOT-DETECTED,True,True,True,False,True
PcP,2,36.35,2.814,3.21,1.101,0.995,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,3,36.51,6.259,3.47,2.531,0.995,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PcP,4,36.8,0.07,2.84,1.815,1.0,True,False,False,False,NOT-DETECTED,True,True,True,False,True
PcP,5,36.15,1.952,2.99,1.7,0.99,True,True,False,False,NOT-DETECTED,True,True,True,False,True
PcP,6,37.54,6.11,2.24,0.72,0.975,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,7,36.28,2.643,3.15,1.092,0.985,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,8,37.84,2.884,1.87,0.635,0.99,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,9,34.24,3.438,4.69,1.616,0.975,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PcP,10,35.46,0.058,3.77,1.452,0.965,True,True,False,True,DETECTED-G2,True,True,True,True,True
PcP,11,26.23,3.741,9.05,2.962,0.925,True,True,False,False,NOT-DETECTED,True,False,True,False,True
PcP,12,37.09,2.543,2.36,1.308,1.0,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,13,36.94,4.563,2.63,1.456,1.0,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,14,32.55,3.396,7.04,1.317,0.96,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,15,37.96,1.232,1.78,1.118,0.995,True,False,False,False,NOT-DETECTED,True,True,True,True,True
PcP,16,28.59,1.458,7.14,7.725,0.985,True,False,False,False,NOT-DETECTED,True,True,True,False,True
PcP,17,27.76,4.487,11.13,1.665,0.98,True,True,False,False,NOT-DETECTED,True,False,True,False,True
PcP,18,35.98,4.853,3.7,1.41,1.0,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,19,35.75,3.223,3.73,2.233,1.0,True,True,False,False,NOT-DETECTED,True,False,True,False,True
PcP,20,34.35,2.516,4.17,1.033,0.995,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,21,37.14,3.493,2.44,1.039,0.965,True,False,False,False,NOT-DETECTED,True,False,True,True,True
PcP,22,36.32,3.378,3.28,1.593,0.96,True,False,False,False,NOT-DETECTED,True,False,True,False,True
PcP,23,30.44,2.21,7.6,0.665,0.975,True,True,False,False,NOT-DETECTED,True,False,True,True,True
PcP,24,38.19,6.05,1.6,0.992,0.995,True,False,False,False,NOT-DETECTED,True,False,True,True,True
ScS,0,29.98,2.981,6.83,4.139,0.91,True,True,False,False,NOT-DETECTED,True,False,True,False,True
ScS,1,31.29,2.357,5.35,0.912,0.985,True,False,False,False,NOT-DETECTED,True,False,True,True,True
ScS,2,32.99,1.516,5.11,4.229,0.975,True,False,False,False,NOT-DETECTED,True,True,True,False,True
ScS,3,32.34,1.108,5.01,1.613,1.0,True,True,False,False,NOT-DETECTED,True,True,True,False,True
ScS,4,33.87,4.064,5.02,3.328,0.895,True,False,False,False,NOT-DETECTED,True,False,True,False,True
ScS,5,27.25,2.024,8.55,1.949,0.975,True,True,False,False,NOT-DETECTED,True,False,True,False,True
ScS,6,34.6,4.064,6.42,1.463,0.935,True,False,False,False,NOT-DETECTED,True,False,True,True,True
ScS,7,35.58,0.822,3.77,2.475,0.995,True,True,False,False,NOT-DETECTED,True,True,True,False,True
ScS,8,31.42,3.85,8.3,0.857,0.83,True,False,False,False,NOT-DETECTED,True,False,True,True,True
ScS,9,33.39,3.681,5.9,1.108,0.86,True,False,False,False,NOT-DETECTED,True,False,True,True,True
ScS,10,24.28,3.461,12.23,1.052,0.82,True,True,False,False,NOT-DETECTED,True,False,True,True,True
ScS,11,37.29,2.392,2.35,2.328,0.995,True,False,False,False,NOT-DETECTED,True,False,True,False,True
ScS,12,32.12,2.007,6.28,3.219,0.92,True,False,False,False,NOT-DETECTED,True,False,True,False,True
ScS,13,23.14,2.155,4.6,1.485,0.995,True,False,False,False,NOT-DETECTED,True,False,True,True,True
ScS,14,35.69,4.064,3.54,4.382,0.95,True,False,False,False,NOT-DETECTED,True,False,True,False,True
ScS,15,31.62,4.064,6.59,3.909,0.905,True,True,False,False,NOT-DETECTED,True,False,True,False,True
ScS,16,35.43,3.358,4.89,1.616,0.99,True,False,False,False,NOT-DETECTED,True,False,True,False,True
ScS,17,27.85,2.421,11.66,1.084,0.985,True,False,False,False,NOT-DETECTED,True,False,True,True,True
ScS,18,31.83,2.08,6.57,2.281,0.955,True,False,False,False,NOT-DETECTED,True,False,True,False,True
ScS,19,26.09,2.166,9.58,1.645,0.915,True,False,False,False,NOT-DETECTED,True,False,True,False,True
ScS,20,27.86,2.103,9.1,8.083,0.935,True,False,False,False,NOT-DETECTED,True,False,True,False,True
ScS,21,34.55,0.85,4.82,1.817,0.855,True,True,False,False,NOT-DETECTED,True,True,True,False,True
ScS,22,28.43,0.179,6.55,4.828,1.0,True,True,False,False,NOT-DETECTED,True,True,True,False,True
ScS,23,25.25,3.616,13.47,0.976,0.875,True,False,False,False,NOT-DETECTED,True,False,True,True,True
ScS,24,31.42,4.064,7.61,2.575,0.91,True,False,False,False,NOT-DETECTED,True,False,True,False,True
