event_id,mag,mag_type,place,origin,lat,lon,depth_km,distance_deg,t_p_abs,p_travel_s,passed_screen
usp000juhz,7.8,mww,"206 km SW of Prince Rupert, Canada",2012-10-28T03:04:08.820000Z,52.788,-132.101,14,25.4345,2012-10-28T03:09:36.064619Z,327.24,True
usp000a7m5,7.7,mwc,"28 km SSW of Puerto El Triunfo, El Salvador",2001-01-13T17:33:32.380000Z,13.049,-88.66,60,27.1717,2001-01-13T17:39:10.093825Z,337.71,True
us60007idc,7.7,mww,"123 km NNW of Lucea, Jamaica",2020-01-28T19:10:24.918000Z,19.4193,-78.756,14.86,28.9667,2020-01-28T19:16:23.759923Z,358.84,True
usp000jrsw,7.6,mww,"11 km ENE of Hojancha, Costa Rica",2012-09-05T14:42:07.800000Z,10.085,-85.315,35,31.4596,2012-09-05T14:48:25.915340Z,378.12,True
us7000pcdl,7.6,mww,"210 km SSW of George Town, Cayman Islands",2025-02-08T23:23:14.697000Z,17.6506,-82.395,14.326,27.5125,2025-02-08T23:29:00.647138Z,345.95,True
us1000c2zy,7.5,mww,"203 km NNE of Barra Patuca, Honduras",2018-01-10T02:51:33.290000Z,17.4825,-83.52,19,26.8628,2018-01-10T02:57:12.689749Z,339.4,True
usp000gxkj,7.3,mwc,"46 km NW of Guanaja, Honduras",2009-05-28T08:24:46.560000Z,16.731,-86.217,19,25.6549,2009-05-28T08:30:15.045601Z,328.49,True
usp000jqvm,7.3,mww,"126 km S of Puerto El Triunfo, El Salvador",2012-08-27T04:37:19.430000Z,12.139,-88.59,28,27.9732,2012-08-27T04:43:07.592328Z,348.16,False
usb000slwn,7.3,mww,"74 km S of Intipucá, El Salvador",2014-10-14T03:51:34.460000Z,12.5262,-88.1225,40,27.8966,2014-10-14T03:57:20.547839Z,346.09,True
us6000f65h,7.2,mww,"Nippes, Haiti",2021-08-14T12:29:08.454000Z,18.4335,-73.4822,10,33.5413,2021-08-14T12:35:48.319463Z,399.87,False
usp000d63h,7,mwc,"43 km SSW of Masachapa, Nicaragua",2004-10-09T21:26:53.690000Z,11.422,-86.665,35,29.6074,2004-10-09T21:32:55.451156Z,361.76,True
usp000h60h,7,mwc,"10 km SE of Léogâne, Haiti",2010-01-12T21:53:10.060000Z,18.443,-72.571,13,34.2359,2010-01-12T21:59:55.501975Z,405.44,False
us6000rsy1,7,mww,2025 Hubbard Glacier Earthquake,2025-12-06T20:41:49.288000Z,60.3127,-139.5412,10.317,33.0952,2025-12-06T20:48:25.210307Z,395.92,False
us10007c4w,6.9,mww,"156 km SSW of Puerto El Triunfo, El Salvador",2016-11-24T18:43:47.710000Z,11.9097,-88.8968,10,28.008,2016-11-24T18:49:38.755525Z,351.05,False
ak00489udzds,6.8,mw,"98 km WSW of Craig, Alaska",2004-06-28T09:49:51.366000Z,55.0721,-134.5324,19.9,27.9064,2004-06-28T09:55:39.993844Z,348.63,True
usp000daqt,6.8,mwb,"36 km S of George Town, Cayman Islands",2004-12-14T23:20:13.360000Z,18.958,-81.409,10,27.3258,2004-12-14T23:25:58.292836Z,344.93,True
us20009p1a,6.8,mww,"28 km SW of Puerto San José, Guatemala",2017-06-22T12:31:03.490000Z,13.7174,-90.9718,38.12,25.4132,2017-06-22T12:36:27.386470Z,323.9,True
us7000nr0v,6.8,mww,"42 km SSW of Bartolomé Masó, Cuba",2024-11-10T16:49:50.426000Z,19.7974,-77.0506,14,30.0164,2024-11-10T16:55:58.695224Z,368.27,True
usp000fdyv,6.7,mwc,"43 km SSE of Iztapa, Guatemala",2007-06-13T19:29:40.180000Z,13.554,-90.618,23,25.7298,2007-06-13T19:35:08.801230Z,328.62,True
usp000a9jv,6.6,mwc,"5 km S of Cojutepeque, El Salvador",2001-02-13T14:22:05.820000Z,13.671,-88.938,10,26.5035,2001-02-13T14:27:43.349790Z,337.53,True
usp000dubj,6.6,mwc,"32 km W of San Juan del Sur, Nicaragua",2005-07-02T02:16:43.700000Z,11.245,-86.172,27,30.0266,2005-07-02T02:22:50.221439Z,366.52,False
usc000t4iq,6.6,mww,"22 km ESE of Punta de Burica, Panama",2014-12-08T08:54:52.520000Z,7.9401,-82.6865,20,34.7055,2014-12-08T09:01:40.950987Z,408.43,True
us70003t2n,6.6,mww,"32 km S of La Libertad, El Salvador",2019-05-30T09:03:32.337000Z,13.1994,-89.3056,57.92,26.7038,2019-05-30T09:09:06.042748Z,333.71,True
us6000hf75,6.6,mww,"55 km WSW of Masachapa, Nicaragua",2022-04-21T07:42:46.508000Z,11.5537,-86.9604,27,29.3362,2022-04-21T07:48:46.918433Z,360.41,True
usp000b923,6.5,mwc,"14 km SE of Punta de Burica, Panama",2002-07-31T00:16:44.610000Z,7.929,-82.793,10,34.6534,2002-07-31T00:23:34.128913Z,409.52,True
usp000bnx3,6.5,mwc,"33 km S of Puerto San José, Guatemala",2003-01-21T02:46:47.740000Z,13.626,-90.774,24,25.5901,2003-01-21T02:52:14.964393Z,327.22,True
usp000cfzw,6.5,mwb,"3 km SSE of Progreso, Panama",2003-12-25T07:11:11.590000Z,8.416,-82.824,33,34.2393,2003-12-25T07:17:54.264521Z,402.67,True
usp000jucg,6.5,mww,Costa Rica,2012-10-24T00:45:32.990000Z,10.086,-85.298,17,31.4682,2012-10-24T00:51:53.616390Z,380.63,True
usc000hrnr,6.5,mww,"44 km W of Masachapa, Nicaragua",2013-06-15T17:34:27.810000Z,11.763,-86.926,30,29.1817,2013-06-15T17:40:26.457825Z,358.65,True
us2000bmhe,6.5,mww,"18 km W of Parrita, Costa Rica",2017-11-13T02:28:23.680000Z,9.5147,-84.4865,19.36,32.3933,2017-11-13T02:34:52.072712Z,388.39,False
us7000fdds,6.5,mww,"80 km SW of Jiquilillo, Nicaragua",2021-09-22T09:57:07.023000Z,12.1396,-87.8647,21,28.3579,2021-09-22T10:02:59.535637Z,352.51,True
usp0009wwb,6.4,mwc,"55 km SSE of Sámara, Costa Rica",2000-07-21T01:53:35.810000Z,9.416,-85.329,33,32.0052,2000-07-21T01:59:58.985096Z,383.18,True
usp000b68d,6.4,mwc,"55 km WSW of Ciudad Cortés, Costa Rica",2002-06-16T02:46:14.030000Z,8.784,-83.992,35,33.2719,2002-06-16T02:52:48.029151Z,394.0,True
usp000c89d,6.4,mwb,"2 km SE of Puerto Plata, Dominican Republic",2003-09-22T04:45:36.240000Z,19.777,-70.673,10,34.9604,2003-09-22T04:52:28.410322Z,412.17,True
usp000d8tf,6.4,mwb,"17 km SSE of Tejar, Costa Rica",2004-11-20T08:07:22.080000Z,9.602,-84.172,16,32.5004,2004-11-20T08:13:51.926186Z,389.85,True
usp000d8uu,6.3,mwc,"34 km SW of Acajutla, El Salvador",2004-11-20T22:01:45.660000Z,13.376,-90.056,40.6,26.1661,2004-11-20T22:07:16.140705Z,330.48,True
usp000dwju,6.3,mwc,"6 km NNW of Cárdenas, Nicaragua",2005-08-03T11:03:15.130000Z,11.247,-85.541,14,30.3797,2005-08-03T11:09:26.612135Z,371.48,True
usp000gp1c,6.3,mwc,"11 km W of Puerto Armuelles, Panama",2008-11-19T06:11:20.790000Z,8.267,-82.967,32,34.2781,2008-11-19T06:18:03.933124Z,403.14,True
us7000fskw,6.3,mww,"62 km S of Masachapa, Nicaragua",2021-11-09T06:25:14.907000Z,11.2198,-86.5255,20,29.8516,2021-11-09T06:31:20.800621Z,365.89,True
usp000a9ts,6.2,mwc,"151 km SSW of Hydaburg, Alaska",2001-02-17T20:11:30.000000Z,53.92,-133.61,20,26.8153,2001-02-17T20:17:08.820304Z,338.82,True
