#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
IU|ANMO|00|BHZ|34.9459|-106.4572|1700.0|150.0|0.0|-90.0|Geotech KS-54000 Borehole Seismometer|8.64679E8|0.02|m/s|20.0|1998-10-26T20:00:00.0000|2000-10-19T16:00:00.0000
IU|ANMO|00|BHZ|34.9502|-106.4602|1743.0|96.0|0.0|-90.0|Geotech KS-54000 Borehole Seismometer|8.64679E8|0.02|m/s|20.0|2000-10-19T16:00:00.0000|2002-11-19T21:07:00.0000
IU|ANMO|00|BHZ|34.945981|-106.457133|1671.0|145.0|0.0|-90.0|Geotech KS-54000 Borehole Seismometer|8.11548E8|0.02|m/s|20.0|2002-11-19T21:07:00.0000|2008-06-30T00:00:00.0000
IU|ANMO|00|BHZ|34.945981|-106.457133|1671.0|145.0|0.0|-90.0|Geotech KS-54000 Borehole Seismometer|8.1872E8|0.02|m/s|20.0|2008-06-30T00:00:00.0000|2008-06-30T20:00:00.0000
IU|ANMO|00|BHZ|34.945981|-106.457133|1671.0|145.0|0.0|-90.0|Geotech KS-54000 Borehole Seismometer|3.27511E9|0.02|m/s|20.0|2008-06-30T20:00:00.0000|2011-02-18T19:11:00.0000
IU|ANMO|00|BHZ|34.945981|-106.457133|1671.0|145.0|0.0|-90.0|Geotech KS-54000 Borehole Seismometer|3.27511E9|0.02|m/s|20.0|2011-02-18T19:11:00.0000|2012-03-12T20:28:00.0000
IU|ANMO|00|BHZ|34.945981|-106.457133|1671.0|145.0|0.0|-90.0|Geotech KS-54000 Borehole Seismometer|3.27511E9|0.02|m/s|20.0|2012-03-12T20:28:00.0000|2014-12-17T18:40:00.0000
IU|ANMO|00|BHZ|34.94591|-106.4572|1671.0|145.0|0.0|-90.0|Geotech KS-54000 Borehole Seismometer|3.40413E9|0.02|m/s|20.0|2014-12-17T18:40:00.0000|2018-07-09T20:45:00.0000
IU|ANMO|00|BHZ|34.94591|-106.4572|1632.7|188.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1.98475E9|0.02|m/s|40.0|2018-07-09T20:45:00.0000|
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-1V/VBB Seismometer|9.93942E8|0.02|m/s|20.0|1999-02-14T23:00:00.0000|2006-05-24T18:51:00.0000
