config,phase,peak_found,local_max_neighbor_check,peak_time_s,peak_slowness_sdeg,peak_power
ANMO,PcP,True,False,141.7,-7.6767676767676765,1.5737150132136033
ANMO,PKiKP,True,False,593.85,-6.767676767676768,0.626560808693385
ANMO,ScS,True,True,597.2,-4.040404040404041,0.8011370389627025
ANMO,PcP_decoy-300,True,True,544.35,-6.161616161616162,0.9600891940799582
ANMO,PcP_decoy-150,True,True,731.5,-7.373737373737374,0.5299656419592236
ANMO,PcP_decoy+150,True,True,937.7,-7.373737373737374,0.2331086858056663
ANMO,PcP_decoy+300,True,True,1047.6,-7.373737373737374,0.15428489856649596
ANMO,PKiKP_decoy-300,True,False,529.9,-9.595959595959595,1.043258606792086
ANMO,PKiKP_decoy-150,True,True,731.5,-7.373737373737374,0.5299656419592236
ANMO,PKiKP_decoy+150,True,True,937.7,-7.373737373737374,0.2331086858056663
ANMO,PKiKP_decoy+300,True,True,1047.6,-7.373737373737374,0.15428489856649596
ANMO,ScS_decoy-300,True,False,555.4,-2.6262626262626263,0.982813653728228
ANMO,ScS_decoy-150,True,True,738.5,-5.353535353535354,0.4966318759809582
ANMO,ScS_decoy+150,True,True,911.8,-4.848484848484849,0.21027913567122225
ANMO,ScS_decoy+300,True,True,1061.9,-4.343434343434343,0.14172249625268135
