config,model,phase,bootstrap_type,threshold_pct,window_type,mean_time_s,sigma_time_s,mean_slowness_sdeg,sigma_slowness_sdeg,occupancy_argmax_time_s,occupancy_argmax_slowness_sdeg,occupancy_argmax_value,weighted_median_time_s,weighted_median_slowness_sdeg,degenerate_fit,target_time_s,target_slowness_sdeg
ANMO,ak135,PcP,type1,50,target_box,180.08046948090436,28.173641791936728,-6.085557158234925,4.893779551358142,141.7,-10.0,1.0,180.2,-5.05050505050505,True,181.67,-6.259
ANMO,ak135,PcP,type1,70,target_box,164.65408486323687,20.713175191712732,-9.999999999999998,4.29399026724203,193.35000000000002,-9.696969696969697,1.0,165.39999999999998,-5.757575757575758,True,181.67,-6.259
ANMO,ak135,PcP,type1,85,target_box,145.5051826955744,3.477306229493486,-9.346153027541709,1.3232736519828983,141.7,-1.717171717171718,0.9850000143051147,153.85,-6.767676767676768,True,181.67,-6.259
ANMO,ak135,PKiKP,type1,50,target_box,632.2285692660572,28.493098206656082,-7.82581228781634,1.2895548421598395,593.85,-10.0,1.0,632.2,-5.05050505050505,True,633.81,-8.188
ANMO,ak135,PKiKP,type1,70,target_box,606.9400314006299,12.546089991083305,-3.9012506151037094e-14,3.27998488913109,599.5,-5.353535353535354,1.0,613.2,-3.8383838383838382,True,633.81,-8.188
ANMO,ak135,PKiKP,type1,85,target_box,601.6742581263823,6.0050556353096205,-0.48639668638988104,3.2467564534640716,599.0,-3.737373737373738,0.9900000095367432,602.85,-2.4242424242424248,True,633.81,-8.188
ANMO,ak135,ScS,type1,50,target_box,635.4392263694169,28.666242700332795,-7.871324801579936,1.3194893516947253,620.6,-10.0,1.0,635.5,-5.05050505050505,True,636.72,-4.064
ANMO,ak135,ScS,type1,70,target_box,610.1053730562867,12.748292214363547,-0.06977988321966054,3.124895570161695,599.5,-5.353535353535354,1.0,618.1,-3.9393939393939394,True,636.72,-4.064
ANMO,ak135,ScS,type1,85,target_box,602.875326523081,5.0511259255470655,-0.17414700340656797,3.053996542268541,599.0,-3.737373737373738,0.9900000095367432,604.35,-2.2222222222222223,True,636.72,-4.064
ANMO,ak135,PcP_decoy-300,type1,50,target_box,539.1697886256246,28.49557578380782,-4.866612089776202,0.6692971765598764,512.9,-10.0,1.0,539.15,-4.94949494949495,True,538.33,-6.259
ANMO,ak135,PcP_decoy-300,type1,70,target_box,549.3007331849367,20.184231998311283,-9.999999999999998,7.733423398680531,525.25,-10.0,1.0,547.45,-5.353535353535354,True,538.33,-6.259
ANMO,ak135,PcP_decoy-300,type1,85,target_box,548.7262190337016,16.75148502076915,-9.696942202537393,0.7103623142986808,528.5,-10.0,0.9800000190734863,548.35,-5.454545454545455,True,538.33,-6.259
ANMO,ak135,PcP_decoy-150,type1,50,target_box,760.9302330962302,30.00871105815566,-9.672930167454144,0.9949419389152862,723.35,-10.0,1.0,760.65,-4.94949494949495,True,763.33,-6.259
ANMO,ak135,PcP_decoy-150,type1,70,target_box,735.0606197755907,8.687361978466761,-3.597758301939662,4.439135929389763,728.3,-8.282828282828284,1.0,740.9,-4.545454545454546,True,763.33,-6.259
ANMO,ak135,PcP_decoy-150,type1,85,target_box,735.3493434734833,6.621142427596613,-5.612185446386578,1.8579140435118249,730.9,-7.474747474747475,0.9850000143051147,736.8,-5.353535353535354,True,763.33,-6.259
ANMO,ak135,PcP_decoy+150,type1,50,target_box,927.2174601396217,26.624277219767162,-4.203576025129584e-15,5.093847934790458,891.9,-10.0,1.0,927.7,-4.747474747474747,True,931.67,-6.259
ANMO,ak135,PcP_decoy+150,type1,70,target_box,916.5587766949758,21.04156240245535,-9.158824843022106,1.9217536658545609,936.8499999999999,-9.494949494949495,1.0,916.35,-5.252525252525253,True,931.67,-6.259
ANMO,ak135,PcP_decoy+150,type1,85,target_box,917.2210946145333,22.161030774010815,-7.972856516834004,1.323458648817088,937.3499999999999,-7.272727272727273,0.9350000023841858,914.6,-6.0606060606060606,True,931.67,-6.259
ANMO,ak135,PcP_decoy+300,type1,50,target_box,1080.330032057093,28.28269224495313,-8.11873601099257,1.7228901991815275,1041.7,-10.0,1.0,1080.3,-5.05050505050505,True,1081.67,-6.259
ANMO,ak135,PcP_decoy+300,type1,70,target_box,1056.4840972990085,11.818748120536373,-1.7859677594313912,22.94701820801007,1046.75,-8.181818181818182,1.0,1062.8,-4.646464646464646,True,1081.67,-6.259
ANMO,ak135,PcP_decoy+300,type1,85,target_box,1049.8288943738035,6.717792156787988,-0.28694173639388465,0.5850412477009548,1049.1,-0.20202020202020243,0.9900000095367432,1052.5,-4.242424242424242,True,1081.67,-6.259
ANMO,ak135,PKiKP_decoy-300,type1,50,target_box,537.0569898177672,28.516995421615572,-4.804248017031866,0.8095575018000593,512.9,-10.0,1.0,537.1,-4.94949494949495,True,536.19,-8.188
ANMO,ak135,PKiKP_decoy-300,type1,70,target_box,548.5781593054894,19.69848122666918,-9.562890329359815,353.67795822077517,525.2,-10.0,1.0,546.35,-5.353535353535354,True,536.19,-8.188
ANMO,ak135,PKiKP_decoy-300,type1,85,target_box,548.4260764452583,16.204403962333416,-9.705469349220367,0.6846823767614723,528.5,-10.0,0.9800000190734863,547.75,-5.353535353535354,True,536.19,-8.188
ANMO,ak135,PKiKP_decoy-150,type1,50,target_box,758.495531052079,29.958488205247686,-9.596844906307728,1.0659945566930327,721.2,-10.0,1.0,757.7,-5.05050505050505,True,761.19,-8.188
ANMO,ak135,PKiKP_decoy-150,type1,70,target_box,734.3357003381666,9.33006038921081,-3.6997456108199374,3.559940787205733,728.3,-8.282828282828284,1.0,739.8,-4.545454545454546,True,761.19,-8.188
ANMO,ak135,PKiKP_decoy-150,type1,85,target_box,735.256936113735,6.763048567487584,-5.596739085426427,1.8349611003350537,730.9,-7.474747474747475,0.9850000143051147,736.6,-5.252525252525253,True,761.19,-8.188
ANMO,ak135,PKiKP_decoy+150,type1,50,target_box,929.1137583671793,26.68258210754634,-2.8621001566857497e-18,4.714306785291095,893.85,-10.0,1.0,929.7,-4.747474747474747,True,933.81,-8.188
ANMO,ak135,PKiKP_decoy+150,type1,70,target_box,917.8946252161969,20.591676400590178,-9.119812198487429,1.7319746841143124,936.1500000000001,-9.595959595959595,1.0,917.5,-5.252525252525253,True,933.81,-8.188
ANMO,ak135,PKiKP_decoy+150,type1,85,target_box,918.3394198175713,21.684474438976657,-8.10129487205593,1.3164588842269287,937.6500000000001,-7.6767676767676765,0.9350000023841858,915.35,-6.0606060606060606,True,933.81,-8.188
ANMO,ak135,PKiKP_decoy+300,type1,50,target_box,1082.1294804853062,28.067249740132702,-7.769478383416683,2.398232727236044,1043.85,-10.0,1.0,1082.25,-5.151515151515151,True,1083.81,-8.188
ANMO,ak135,PKiKP_decoy+300,type1,70,target_box,1057.626996426894,10.873432362852153,-1.8398290620135918,13.932849221122027,1046.75,-8.181818181818182,1.0,1064.2,-4.545454545454546,True,1083.81,-8.188
ANMO,ak135,PKiKP_decoy+300,type1,85,target_box,1050.525075160113,5.879149097005547,-0.29074326927673766,0.5968542004919067,1049.1,-0.20202020202020243,0.9900000095367432,1053.9,-4.242424242424242,True,1083.81,-8.188
ANMO,ak135,ScS_decoy-300,type1,50,target_box,534.1999127529208,28.536564844671464,-4.798369499190009,1.005701367591035,512.9,-10.0,1.0,534.25,-5.05050505050505,True,533.28,-4.064
ANMO,ak135,ScS_decoy-300,type1,70,target_box,547.5955012411702,18.84179692715709,-7.800126201812607,354.2363521845405,525.15,-10.0,1.0,544.85,-5.353535353535354,True,533.28,-4.064
ANMO,ak135,ScS_decoy-300,type1,85,target_box,547.9874823693852,15.402818121011686,-9.719596256266685,0.6613615366424914,529.7,-10.0,0.9800000190734863,546.8,-5.252525252525253,True,533.28,-4.064
ANMO,ak135,ScS_decoy-150,type1,50,target_box,755.1961068183414,29.86985343901855,-9.329854758631388,1.1597867647915694,718.3,-10.0,1.0,754.1,-5.05050505050505,True,758.28,-4.064
ANMO,ak135,ScS_decoy-150,type1,70,target_box,733.4213970414653,10.227873473256626,-3.87973014515274,2.837156378926773,718.3,-10.0,1.0,738.25,-4.646464646464646,True,758.28,-4.064
ANMO,ak135,ScS_decoy-150,type1,85,target_box,735.160147326268,6.989736093934816,-5.684736503009262,1.654567822784586,730.9,-7.474747474747475,0.9700000286102295,736.2,-5.353535353535354,True,758.28,-4.064
ANMO,ak135,ScS_decoy+150,type1,50,target_box,931.7435530026877,26.861268702687106,-2.8910163405823575e-14,4.458291472874074,896.75,-10.0,1.0,932.4000000000001,-4.747474747474747,True,936.72,-4.064
ANMO,ak135,ScS_decoy+150,type1,70,target_box,919.7708387207879,19.958268549428617,-8.921980628019474,1.6241624790647584,936.1500000000001,-9.595959595959595,1.0,919.3,-5.353535353535354,True,936.72,-4.064
ANMO,ak135,ScS_decoy+150,type1,85,target_box,920.2889311834467,21.020625221626233,-8.12252016903586,1.445720423727626,937.6500000000001,-7.6767676767676765,0.9350000023841858,916.65,-6.262626262626263,True,936.72,-4.064
ANMO,ak135,ScS_decoy+300,type1,50,target_box,1084.4410676872483,27.703164678702855,-7.1627670750478245,2.5191643129688557,1046.75,-10.0,1.0,1084.75,-5.151515151515151,True,1086.72,-4.064
ANMO,ak135,ScS_decoy+300,type1,70,target_box,1059.1319906836316,9.640165274854281,-2.2310364963840725,5.197132575541762,1046.75,-8.181818181818182,1.0,1066.05,-4.545454545454546,True,1086.72,-4.064
ANMO,ak135,ScS_decoy+300,type1,85,target_box,1053.558047987434,7.199039763922706,-0.29406837622444276,0.610875353146997,1049.0,-0.20202020202020243,0.9900000095367432,1057.0,-4.040404040404041,True,1086.72,-4.064
ANMO,ak135,PcP,type3,50,target_box,181.26845413642988,28.518422777432445,-5.346352072652709,3.6212620771467714,141.7,-10.0,1.0,181.3,-5.05050505050505,True,181.67,-6.259
ANMO,ak135,PcP,type3,70,target_box,165.53089860905197,20.07165496368933,-9.999999999999998,4.629800919528455,142.65,-10.0,1.0,166.35000000000002,-5.757575757575758,True,181.67,-6.259
ANMO,ak135,PcP,type3,85,target_box,147.16501837870643,5.295461677842271,-9.437081356437501,1.3151857213562943,141.7,-0.20202020202020243,0.9700000286102295,151.75,-6.161616161616162,True,181.67,-6.259
ANMO,ak135,PKiKP,type3,50,target_box,633.1723197154638,28.58438794129629,-8.25358259656896,1.650362666869106,598.75,-10.0,1.0,633.2,-5.05050505050505,True,633.81,-8.188
