mode,input_type,norm_variant,polarization_operator,stack_method,power_window_s,phase,peak_label,time_s,slowness_sdeg,power,support_count,minimum_support,status,excluded_reason,paper_time_s,paper_slowness_sdeg,dt_vs_paper_s,ds_vs_paper_sdeg,within_published_tolerance,grid_coordinate_miss_norm,median_distance_error_deg,max_distance_error_deg,distance_uncertainty_moveout_s,uncertainty_folded_time_tolerance_s,within_uncertainty_folded_tolerance,local_max_neighbor_check,box_peak_background_quantile,target_box_rank,published_target_box,box_occupancy_in_band,box_supported_cell_fraction,box_valid_cell_count,box_total_cell_count,normalization_lane,current_provenance_status
ablation,envelope,C,not_applicable,nth_root,1.0,PKiKP,global,662.25,-3.4343434343434343,0.48869690476064376,23,2,ok,,604.0,-6.5,58.25,3.0656565656565657,False,29.569779767458215,3.3,17.5,21.45,23.45,False,True,0.8981984369367936,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKiKP,published_target,584.0,-6.363636363636363,0.29648018909168583,23,2,ok,,604.0,-6.5,-20.0,0.1363636363636367,False,10.00258231121154,3.3,17.5,21.45,23.45,True,False,0.8230742509504908,14111,PKIKP_PUBLISHED,0.10247607157719517,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,peak_1,1200.0,-3.9393939393939394,0.0925501158304425,23,2,ok,,1290.0,-8.0,-90.0,4.0606060606060606,False,4.040820685588548,3.3,17.5,26.4,56.4,False,False,0.5200672001241315,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,peak_2,1292.75,-4.444444444444445,0.08806052450513419,23,2,ok,,1341.0,-7.0,-48.25,2.5555555555555554,False,2.3429345746573524,3.3,17.5,23.099999999999998,53.099999999999994,False,True,0.5005291279718228,35,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,paper_target,1344.9,-7.575757575757576,0.07184878594334317,23,2,ok,,1341.0,-7.0,3.900000000000091,-0.5757575757575761,False,1.6371484089000712,3.3,17.5,23.099999999999998,28.099999999999998,False,True,0.40840289215944797,25936,PKKP_PUBLISHED,0.2069912609238452,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKiKP,global,663.6,-3.6363636363636367,0.42698642338157017,23,2,ok,,604.0,-6.5,59.60000000000002,2.8636363636363633,False,30.179776765573255,3.3,17.5,21.45,23.45,False,True,0.8718958951611814,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKiKP,published_target,584.0,-6.363636363636363,0.2711780905717711,23,2,ok,,604.0,-6.5,-20.0,0.1363636363636367,False,10.00258231121154,3.3,17.5,21.45,23.45,True,False,0.8102751509038979,26176,PKIKP_PUBLISHED,0.39991677070328757,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,peak_1,1200.0,-3.9393939393939394,0.0831378025527796,23,2,ok,,1290.0,-8.0,-90.0,4.0606060606060606,False,4.040820685588548,3.3,17.5,26.4,56.4,False,False,0.4753768075451731,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,peak_2,1293.0,-4.343434343434343,0.08176773348630417,23,2,ok,,1341.0,-7.0,-48.0,2.6565656565656566,False,2.386754289606063,3.3,17.5,23.099999999999998,53.099999999999994,False,True,0.468118732132669,40,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,paper_target,1342.6,-7.171717171717171,0.0660408138322448,23,2,ok,,1341.0,-7.0,1.599999999999909,-0.17171717171717127,True,0.5354366621187714,3.3,17.5,23.099999999999998,28.099999999999998,True,True,0.36881156724305586,54009,PKKP_PUBLISHED,0.3972534332084894,1.0,16020,16020,ablation_full_window,current
