mode,input_type,norm_variant,polarization_operator,stack_method,power_window_s,phase,peak_label,time_s,slowness_sdeg,power,support_count,minimum_support,status,excluded_reason,paper_time_s,paper_slowness_sdeg,dt_vs_paper_s,ds_vs_paper_sdeg,within_published_tolerance,grid_coordinate_miss_norm,median_distance_error_deg,max_distance_error_deg,distance_uncertainty_moveout_s,uncertainty_folded_time_tolerance_s,within_uncertainty_folded_tolerance,local_max_neighbor_check,box_peak_background_quantile,target_box_rank,published_target_box,box_occupancy_in_band,box_supported_cell_fraction,box_valid_cell_count,box_total_cell_count,normalization_lane,current_provenance_status
ablation,envelope,C,not_applicable,nth_root,1.0,PKiKP,global,662.2,-3.4343434343434343,0.40287088321951414,21,2,ok,,604.0,-6.5,58.200000000000045,3.0656565656565657,False,29.545156125767594,3.3,17.5,21.45,23.45,False,True,0.9098309112532531,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKiKP,published_target,589.3,-7.070707070707071,0.23972703242643095,21,2,ok,,604.0,-6.5,-14.700000000000045,-0.5707070707070709,False,7.411291415535255,3.3,17.5,21.45,23.45,True,False,0.8204939973112673,14908,PKIKP_PUBLISHED,0.07563462338743238,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,peak_1,1214.65,-6.0606060606060606,0.07996258821705383,21,2,ok,,1290.0,-8.0,-75.34999999999991,1.9393939393939394,False,2.8249133793727323,3.3,17.5,26.4,56.4,False,True,0.5356711402432964,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,peak_2,1200.0,-3.9393939393939394,0.07827563893682749,21,2,ok,,1341.0,-7.0,-141.0,3.0606060606060606,False,5.12379240876298,3.3,17.5,23.099999999999998,53.099999999999994,False,False,0.5275972972884425,60,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,paper_target,1344.8,-7.575757575757576,0.061787436573609966,21,2,ok,,1341.0,-7.0,3.7999999999999545,-0.5757575757575761,False,1.6277146287860143,3.3,17.5,23.099999999999998,28.099999999999998,False,True,0.4151160949378217,27142,PKKP_PUBLISHED,0.16136079900124844,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKiKP,global,663.6,-3.6363636363636367,0.3546566779411546,21,2,ok,,604.0,-6.5,59.60000000000002,2.8636363636363633,False,30.179776765573255,3.3,17.5,21.45,23.45,False,True,0.8786361506782443,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKiKP,published_target,589.2,-7.070707070707071,0.21542922480528526,21,2,ok,,604.0,-6.5,-14.799999999999955,-0.5707070707070709,False,7.460880674959619,3.3,17.5,21.45,23.45,True,False,0.8052911901956266,34020,PKIKP_PUBLISHED,0.41843528922180606,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,peak_1,1215.1,-6.0606060606060606,0.07226082828247687,21,2,ok,,1290.0,-8.0,-74.90000000000009,1.9393939393939394,False,2.8115850691307744,3.3,17.5,26.4,56.4,False,True,0.4947017112003958,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,peak_2,1200.0,-3.9393939393939394,0.07150743448928495,21,2,ok,,1341.0,-7.0,-141.0,3.0606060606060606,False,5.12379240876298,3.3,17.5,23.099999999999998,53.099999999999994,False,False,0.49024335106528205,109,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,paper_target,1341.8,-7.070707070707071,0.05712042565194012,21,2,ok,,1341.0,-7.0,0.7999999999999545,-0.07070707070707094,True,0.23842569397998853,3.3,17.5,23.099999999999998,28.099999999999998,True,True,0.3723436204846053,49621,PKKP_PUBLISHED,0.26922596754057426,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKiKP,global,664.85,-3.737373737373738,0.311452498551167,21,2,ok,,604.0,-6.5,60.85000000000002,2.762626262626262,False,30.771430150698436,3.3,17.5,21.45,23.45,False,True,0.8564439488769462,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKiKP,published_target,584.0,-7.070707070707071,0.20246205412301277,21,2,ok,,604.0,-6.5,-20.0,-0.5707070707070709,False,10.045135163151675,3.3,17.5,21.45,23.45,True,False,0.7930693599134189,53355,PKIKP_PUBLISHED,0.7718476903870163,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKKP,peak_1,1216.95,-6.0606060606060606,0.06595446376708723,21,2,ok,,1290.0,-8.0,-73.04999999999995,1.9393939393939394,False,2.756971373901919,3.3,17.5,26.4,56.4,False,True,0.45210790314883154,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKKP,peak_2,1200.0,-3.8383838383838382,0.06470345420349392,21,2,ok,,1341.0,-7.0,-141.0,3.1616161616161618,False,5.150979054871997,3.3,17.5,23.099999999999998,53.099999999999994,False,False,0.44259315279581246,775,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKKP,paper_target,1341.3,-7.171717171717171,0.052651880726077294,21,2,ok,,1341.0,-7.0,0.2999999999999545,-0.17171717171717127,True,0.43346559164586745,3.3,17.5,23.099999999999998,28.099999999999998,True,True,0.32995294171609296,92338,PKKP_PUBLISHED,0.5491885143570537,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKiKP,global,662.65,-3.5353535353535355,0.38011920226349943,21,2,ok,,604.0,-6.5,58.64999999999998,2.9646464646464645,False,29.738356902806917,3.3,17.5,21.45,23.45,False,True,0.893886354626597,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKiKP,published_target,589.3,-7.070707070707071,0.22959117688312283,21,2,ok,,604.0,-6.5,-14.700000000000045,-0.5707070707070709,False,7.411291415535255,3.3,17.5,21.45,23.45,True,False,0.8144892336019518,20551,PKIKP_PUBLISHED,0.18196004993757803,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKKP,peak_1,1214.85,-6.0606060606060606,0.07693674892286512,21,2,ok,,1290.0,-8.0,-75.15000000000009,1.9393939393939394,False,2.8189876119831845,3.3,17.5,26.4,56.4,False,True,0.520900365086663,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKKP,peak_2,1200.0,-3.9393939393939394,0.07574943408082187,21,2,ok,,1341.0,-7.0,-141.0,3.0606060606060606,False,5.12379240876298,3.3,17.5,23.099999999999998,53.099999999999994,False,False,0.5145345554581165,89,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKKP,paper_target,1340.45,-6.8686868686868685,0.05921294299534586,21,2,ok,,1341.0,-7.0,-0.5499999999999545,0.1313131313131315,True,0.3462219163273336,3.3,17.5,23.099999999999998,28.099999999999998,True,True,0.39125626724824253,39175,PKKP_PUBLISHED,0.20886392009987514,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,1.0,PKiKP,global,662.7,-3.4343434343434343,1.4589358436231012,21,2,ok,,604.0,-6.5,58.700000000000045,3.0656565656565657,False,29.79142075322999,3.3,17.5,21.45,23.45,False,True,0.994713178176052,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,1.0,PKiKP,published_target,589.45,-7.070707070707071,0.4738356556140006,21,2,ok,,604.0,-6.5,-14.549999999999955,-0.5707070707070709,False,7.336917980050337,3.3,17.5,21.45,23.45,True,False,0.8252513724877768,31069,PKIKP_PUBLISHED,0.08531002913025384,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,1.0,PKKP,peak_1,1200.05,-7.474747474747475,0.16549355497780377,21,2,ok,,1290.0,-8.0,-89.95000000000005,0.5252525252525251,False,3.018711753585859,3.3,17.5,26.4,56.4,False,True,0.6072228841518752,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,1.0,PKKP,peak_2,1345.3,-9.494949494949495,0.15698904565030292,21,2,ok,,1341.0,-7.0,4.2999999999999545,-2.494949494949495,False,1.6694640500403766,3.3,17.5,23.099999999999998,53.099999999999994,False,True,0.5880813347122826,128,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,1.0,PKKP,paper_target,1344.9,-7.575757575757576,0.12238915323788148,21,2,ok,,1341.0,-7.0,3.900000000000091,-0.5757575757575761,False,1.6371484089000712,3.3,17.5,23.099999999999998,28.099999999999998,False,True,0.4921538584188897,7310,PKKP_PUBLISHED,0.03664169787765294,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,10.0,PKiKP,global,664.5,-3.6363636363636367,1.26603303126342,21,2,ok,,604.0,-6.5,60.5,2.8636363636363633,False,30.624196734279167,3.3,17.5,21.45,23.45,False,True,0.991827650263795,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,10.0,PKiKP,published_target,589.2,-7.070707070707071,0.4076133972417664,21,2,ok,,604.0,-6.5,-14.799999999999955,-0.5707070707070709,False,7.460880674959619,3.3,17.5,21.45,23.45,True,False,0.8036447509099864,63482,PKIKP_PUBLISHED,0.39461090303786933,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,10.0,PKKP,peak_1,1200.85,-7.575757575757576,0.14310751215648995,21,2,ok,,1290.0,-8.0,-89.15000000000009,0.42424242424242387,False,2.9850954114308292,3.3,17.5,26.4,56.4,False,True,0.5472689486312253,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,10.0,PKKP,peak_2,1200.0,-3.8383838383838382,0.13544032897157143,21,2,ok,,1341.0,-7.0,-141.0,3.1616161616161618,False,5.150979054871997,3.3,17.5,23.099999999999998,53.099999999999994,False,False,0.5231955075665657,200,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,10.0,PKKP,paper_target,1344.8,-7.575757575757576,0.1029607297040014,21,2,ok,,1341.0,-7.0,3.7999999999999545,-0.5757575757575761,False,1.6277146287860143,3.3,17.5,23.099999999999998,28.099999999999998,False,True,0.4250897427356709,38902,PKKP_PUBLISHED,0.1655430711610487,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,20.0,PKiKP,global,665.25,-3.737373737373738,0.9877060818624402,21,2,ok,,604.0,-6.5,61.25,2.762626262626262,False,30.96919297494386,3.3,17.5,21.45,23.45,False,True,0.9736713870562963,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,20.0,PKiKP,published_target,584.0,-7.070707070707071,0.40260502791127273,21,2,ok,,604.0,-6.5,-20.0,-0.5707070707070709,False,10.045135163151675,3.3,17.5,21.45,23.45,True,False,0.8009252211215139,62634,PKIKP_PUBLISHED,0.5044735746982938,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,20.0,PKKP,peak_1,1200.15,-7.575757575757576,0.12147548963123575,21,2,ok,,1290.0,-8.0,-89.84999999999991,0.42424242424242387,False,3.008324589795386,3.3,17.5,26.4,56.4,False,True,0.4732259223543776,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,20.0,PKKP,peak_2,1200.0,-3.737373737373738,0.11750938628856963,21,2,ok,,1341.0,-7.0,-141.0,3.262626262626262,False,5.178898644374266,3.3,17.5,23.099999999999998,53.099999999999994,False,False,0.4636493595421073,287,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,20.0,PKKP,paper_target,1343.4,-7.6767676767676765,0.093747471241584,21,2,ok,,1341.0,-7.0,2.400000000000091,-0.6767676767676765,False,1.7586900102020555,3.3,17.5,23.099999999999998,28.099999999999998,False,True,0.38664741670880326,79732,PKKP_PUBLISHED,0.4190387016229713,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,5.0,PKiKP,global,664.0,-3.5353535353535355,1.3959630201091293,21,2,ok,,604.0,-6.5,60.0,2.9646464646464645,False,30.404181394649065,3.3,17.5,21.45,23.45,False,True,0.9941505319038565,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,5.0,PKiKP,published_target,589.3,-7.070707070707071,0.4457463034836929,21,2,ok,,604.0,-6.5,-14.700000000000045,-0.5707070707070709,False,7.411291415535255,3.3,17.5,21.45,23.45,True,False,0.8158779389585583,41691,PKIKP_PUBLISHED,0.1677070328755722,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,5.0,PKKP,peak_1,1200.95,-7.575757575757576,0.158538516303714,21,2,ok,,1290.0,-8.0,-89.04999999999995,0.42424242424242387,False,2.981777090150329,3.3,17.5,26.4,56.4,False,True,0.5913512793322507,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,pws,5.0,PKKP,peak_2,1344.65,-9.393939393939394,0.1499410356826851,21,2,ok,,1341.0,-7.0,3.650000000000091,-2.3939393939393945,False,1.6005904565857239,3.3,17.5,23.099999999999998,53.099999999999994,False,True,0.5697153896642142,141,,nan,nan,0,0,ablation_full_window,current
