key,doi,status,field_mismatches_and_checks,proposed_corrected_entry_or_note
beyreuther2010,10.1785/gssrl.81.3.530,VERIFIED,"None. Authors/year/journal/vol(3)/pages 530-533/DOI all match Crossref. Title casing (sentence case) is style, not a mismatch.","(no change) NOTE: entry is never cited in the body; ObsPy is not mentioned anywhere in the text. Either add an in-text software citation in Methods 3.1 (if the pipeline uses ObsPy, e.g. 'implemented with ObsPy (Beyreuther et al., 2010)') or drop the entry."
bi2025,10.1038/s41586-025-09361-9,VERIFIED,"None. Positive control: Nature 645, 67-72, issued 2025-09-03; authors Bi H., Sun D., Sun N., Mao Z., Dai M., Hemingway D. exactly as drafted.","(no change to core entry) STATUS NOTE: an Author Correction exists - Nature 648(8094), E18, 3 Dec 2025, doi 10.1038/s41586-025-09981-1 (already archived at references/original_paper/s41586-025-09981-1.txt). It is citation-only (Methods 'Composition of the Martian core': ref. 54 replaced by ref. 70, Huang et al. 2023 GRL); it does not touch the pick tables/SI used by Paper 0. Optional append: '(Author Correction: Nature, 648, E18, 2025, https://doi.org/10.1038/s41586-025-09981-1)'."
crotwell1999,10.1785/gssrl.70.2.154,VERIFIED,"None. SRL 70(2), 154-160, 1999; authors match.","(no change) NOTE: TauP is used in the body (Sections 2, 5.4, figure sources) but never carries the citation; attach '(Crotwell et al., 1999)' at first Methods/data mention of TauP."
garcia2011,10.1016/j.pepi.2011.06.015 (proposed; entry has none),CORRECTED,"Missing DOI. Optional: issue 1-2. All other fields match Crossref (PEPI 188, 96-113, 2011; Garcia R.F., Gagnepain-Beyneix J., Chevrot S., Lognonne P.). Publication-status: an erratum exists - PEPI 202-203, 89-91 (2012), doi 10.1016/j.pepi.2012.03.009 (Crossref relation 'erratum').","Garcia, R. F., Gagnepain-Beyneix, J., Chevrot, S., & Lognonné, P. (2011). Very preliminary reference Moon model. *Physics of the Earth and Planetary Interiors*, 188(1–2), 96–113. https://doi.org/10.1016/j.pepi.2011.06.015 [lead's call: co-cite the 2012 erratum, PEPI 202–203, 89–91, https://doi.org/10.1016/j.pepi.2012.03.009, since the entry backs the VPREMOON R≈380 km context in § 5.3]"
insight_seis_2019,10.18715/SEIS.INSIGHT.XB_2016,VERIFIED,"DataCite resolves (200). Title 'SEIS raw data, Insight Mission', creator 'InSight Mars SEIS Data Service', pubYear 2019, all as drafted. Registry publisher string ends 'MFSC' - a registry typo; draft's 'MSFC' is the correct agency acronym (keep MSFC).",(no change)
mqs_v14,10.12686/a21,VERIFIED,"DataCite resolves (200). Title 'Mars Seismic Catalogue, InSight Mission; V14 2023-04-01', version 14.0, pubYear 2023, publisher 'ETHZ, IPGP, JPL, ICL, Univ. Bristol' - DOI is V14-specific, exactly as drafted.",(no change)
lognonne2019,10.1007/s11214-018-0574-6,VERIFIED,"None material. SSR 215, art. 12, 2019; first five authors + et al. match. Publisher metadata (and Springer page) render the title as ""Insight's"" (not ""InSight's""); optional: issue (1).","(no change) NOTE: no in-text citation; attach '(Lognonné et al., 2019)' at the first SEIS/VBB mention in Section 2."
ipgp2023_ensemble,10.18715/IPGP.2023.llxn7e6d,CORRECTED,"Entry is authorless with a placeholder title. DataCite record: creators Khan A., Huang D., Durán C., Sossi P., Giardini D., Murakami M.; title 'Updated interior structure models of Mars with a liquid silicate layer atop the Martian core'; IPGP Research Collection, 2023. This resolves the entry's registered 'author list to be confirmed' note and matches the body's 'Khan et al. (2023)' attribution (line 120).","Khan, A., Huang, D., Durán, C., Sossi, P., Giardini, D., & Murakami, M. (2023). Updated interior structure models of Mars with a liquid silicate layer atop the Martian core [data set]. IPGP Research Collection (Dataverse). https://doi.org/10.18715/IPGP.2023.llxn7e6d (deposit files incl. `Core.zip`, SHA-256-pinned in `manifest/data_manifest.json`)."
ipgp2021_ak,10.18715/IPGP.2021.kpmqrnz8,CORRECTED,"Entry is authorless with a placeholder title. DataCite record: 41 creators led by Stähler S., Khan A., Banerdt W.B., Lognonné P., Giardini D.; title 'Interior Models of Mars from inversion of seismic body waves'; V1.0; IPGP Research Collection, 2021. Resolves the 'same confirmation note as above'.","Stähler, S., Khan, A., Banerdt, W. B., Lognonné, P., Giardini, D., et al. (2021). Interior Models of Mars from inversion of seismic body waves, V1.0 [data set]. IPGP Research Collection (Dataverse). https://doi.org/10.18715/IPGP.2021.kpmqrnz8"
montalbetti1970,10.1111/j.1365-246X.1970.tb01771.x (proposed; entry has none),CORRECTED,"Missing DOI. Vol 21(2), 119-129, 1970, authors match. Crossref renders the journal under its current name 'Geophysical Journal International'; the drafted 'Geophysical Journal of the Royal Astronomical Society' is the historically correct 1970 name - either is defensible; keep GJRAS unless Seismica style says otherwise.","Montalbetti, J. F., & Kanasewich, E. R. (1970). Enhancement of teleseismic body phases with a polarization filter. *Geophysical Journal of the Royal Astronomical Society*, 21(2), 119–129. https://doi.org/10.1111/j.1365-246X.1970.tb01771.x"
