mode,input_type,norm_variant,polarization_operator,stack_method,power_window_s,phase,peak_label,time_s,slowness_sdeg,power,support_count,minimum_support,status,excluded_reason,paper_time_s,paper_slowness_sdeg,dt_vs_paper_s,ds_vs_paper_sdeg,within_published_tolerance,grid_coordinate_miss_norm,median_distance_error_deg,max_distance_error_deg,distance_uncertainty_moveout_s,uncertainty_folded_time_tolerance_s,within_uncertainty_folded_tolerance,local_max_neighbor_check,box_peak_background_quantile,target_box_rank,published_target_box,box_occupancy_in_band,box_supported_cell_fraction,box_valid_cell_count,box_total_cell_count,normalization_lane,current_provenance_status
ablation,envelope,C,not_applicable,nth_root,1.0,PKiKP,global,694.75,-6.767676767676768,0.25548006752641667,19,2,ok,,604.0,-6.5,90.75,-0.2676767676767682,False,45.377193116634224,3.5,17.5,22.75,24.75,False,True,0.8648491328236172,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKiKP,published_target,589.05,-7.070707070707071,0.16720017976427387,19,2,ok,,604.0,-6.5,-14.950000000000045,-0.5707070707070709,False,7.535274742568221,3.5,17.5,22.75,24.75,True,False,0.7894595559768607,18260,PKIKP_PUBLISHED,0.2692467748647524,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,peak_1,1201.7,-7.6767676767676765,0.0614282462469376,19,2,ok,,1290.0,-8.0,-88.29999999999995,0.32323232323232354,False,2.9512109857015303,3.5,17.5,28.0,58.0,False,True,0.53373289372953,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,peak_2,1214.5,-6.0606060606060606,0.05720575282614814,19,2,ok,,1341.0,-7.0,-126.5,0.9393939393939394,False,4.262919498985542,3.5,17.5,24.5,54.5,False,True,0.5013698121490969,241,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,paper_target,1344.15,-7.474747474747475,0.053641328870410815,19,2,ok,,1341.0,-7.0,3.150000000000091,-0.4747474747474749,False,1.3437102663407112,3.5,17.5,24.5,29.5,False,True,0.47012787315995996,1152,PKKP_PUBLISHED,0.08695380774032459,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKiKP,global,695.25,-6.8686868686868685,0.2229795572420959,19,2,ok,,604.0,-6.5,91.25,-0.3686868686868685,False,45.62913771213711,3.5,17.5,22.75,24.75,False,True,0.8423151059384737,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKiKP,published_target,588.2,-7.070707070707071,0.15457828706689597,19,2,ok,,604.0,-6.5,-15.799999999999955,-0.5707070707070709,False,7.9570560162654305,3.5,17.5,22.75,24.75,True,False,0.7706932496644544,34000,PKIKP_PUBLISHED,0.4577611319184353,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,peak_1,1200.9,-7.575757575757576,0.05534069519417116,19,2,ok,,1290.0,-8.0,-89.09999999999991,0.42424242424242387,False,2.9834362466068516,3.5,17.5,28.0,58.0,False,True,0.4853815718056555,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,peak_2,1200.0,-3.9393939393939394,0.0522035079495154,19,2,ok,,1341.0,-7.0,-141.0,3.0606060606060606,False,5.12379240876298,3.5,17.5,24.5,54.5,False,False,0.45528305410337533,288,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,paper_target,1342.2,-7.171717171717171,0.048835469872140914,19,2,ok,,1341.0,-7.0,1.2000000000000455,-0.17171717171717127,True,0.4918255982977171,3.5,17.5,24.5,29.5,True,True,0.42142992094339354,2530,PKKP_PUBLISHED,0.15742821473158553,1.0,16020,16020,ablation_full_window,current
