index,event_id,quality,origin_time,distance_deg,distance_err,baz_deg,set
1,S1015f,A,2021-10-04T04:55:55.150429Z,27.5,2.0,89.0,vespagram
2,S0918a,B,2021-06-27T05:35:04.667245Z,27.8,6.7,136.8,vespagram
3,S0235b,A,2019-07-26T12:19:16.991001Z,28.7,1.5,77.0,vespagram
4,S0864a,A,2021-05-02T01:01:05.534422Z,28.7,3.5,90.0,vespagram
5,S0474a,B,2020-03-28T00:34:17.978182Z,29.1,17.5,96.9,vespagram
6,S0916d,B,2021-06-25T05:17:12.455430Z,29.3,5.9,96.9,vespagram
7,S0802a,B,2021-02-28T06:11:05.701380Z,30.0,3.5,82.0,vespagram
8,S0173a,A,2019-05-23T02:22:58.043698Z,30.0,1.4,88.0,vespagram
9,S0820a,A,2021-03-18T14:54:19.835741Z,30.2,2.4,105.9,vespagram
10,S1048d,A,2021-11-07T22:04:04.408860Z,30.2,1.3,96.9,vespagram
11,S1133c,A,2022-02-03T08:08:25.290742Z,30.2,1.3,91.0,vespagram
12,S0290b,B,2019-09-21T03:19:05.310837Z,30.4,8.2,,vespagram
13,S1039b,B,2021-10-29T16:15:56.296678Z,30.4,17.5,,vespagram
14,S1022a,A,2021-10-11T23:18:20.004721Z,30.7,2.0,63.1,vespagram
15,S0484b,B,2020-04-07T08:52:05.561869Z,31.8,5.9,99.9,vespagram
16,S1197a,B,2022-04-09T22:09:33.753550Z,32.0,1.5,,vespagram
17,S0105a,B,2019-03-14T21:03:28.123118Z,32.5,8.2,111.9,vespagram
18,S0189a,B,2019-06-09T05:40:05.486385Z,33.4,8.2,,vespagram
19,S0784a,B,2021-02-09T12:15:46.472278Z,34.5,3.6,114.9,vespagram
20,S1157a,B,2022-02-27T01:07:02.379242Z,35.6,2.5,,vespagram
21,S1222a,A,2022-05-04T23:27:45.331451Z,37.0,1.6,100.9,vespagram
22,S1012d,B,2021-10-02T00:34:03.626131Z,38.3,3.3,,vespagram
23,S0325a,B,2019-10-26T06:58:55.171919Z,39.7,6.1,57.2,vespagram
24,S1102a,A,2022-01-02T04:35:28.844688Z,73.3,4.6,285.9,validation
25,S1153a,B,2022-02-23T21:09:33.746256Z,84.8,10.5,,validation
26,S1415a,B,2022-11-19T21:55:49.119346Z,88.2,9.6,,validation
