config,model,phase,status,ref_distance_deg,ref_depth_km,n_rows_used,n_rows_qc_ok,t_p_abs_s,t_phase_abs_s,diff_time_s,diff_slowness_sdeg,p_slowness_sdeg,phase_slowness_sdeg,box_t_min,box_t_max,box_p_min,box_p_max,flag_extend_slowness,flag_extend_cut
I12-IMP,vpremoon,PcP,target,37.5,0.0,15.0,15.0,157.27,355.05,197.78,-3.346,3.676,0.331,157.78,237.78,-4.846,-1.846,False,False
I12-IMP,vpremoon,PKiKP,phase_absent,37.5,0.0,,,,,,,,,,,,,,
I12-IMP,vpremoon,PKKP,phase_absent,37.5,0.0,,,,,,,,,,,,,,
I12-IMP,vpremoon,PKPPKP,target,37.5,0.0,15.0,15.0,157.27,1060.06,902.79,-3.231,3.676,0.445,862.79,942.79,-4.731,-1.731,False,False
I12-IMP,vpremoon,PKP,phase_absent,37.5,0.0,,,,,,,,,,,,,,
I12-IMP,vpremoon,ScS,target,37.5,0.0,15.0,15.0,157.27,623.88,466.61,-3.092,3.676,0.584,426.61,506.61,-4.592,-1.592,False,False
I12-IMP,weber2011,PcP,target,37.5,0.0,15.0,15.0,158.47,368.7,210.24,-3.379,3.663,0.283,170.24,250.24,-4.879,-1.879,False,False
I12-IMP,weber2011,PKiKP,target,37.5,0.0,15.0,15.0,158.47,411.59,253.12,-3.432,3.663,0.231,213.12,293.12,-4.932,-1.932,False,False
I12-IMP,weber2011,PKKP,phase_absent,37.5,0.0,,,,,,,,,,,,,,
I12-IMP,weber2011,PKPPKP,phase_absent,37.5,0.0,,,,,,,,,,,,,,
I12-IMP,weber2011,PKP,phase_absent,37.5,0.0,,,,,,,,,,,,,,
I12-IMP,weber2011,ScS,target,37.5,0.0,15.0,15.0,158.47,687.75,529.29,-3.092,3.663,0.57,489.29,569.29,-4.592,-1.592,False,False
I14-IMP,vpremoon,PcP,target,31.0,0.0,5.0,5.0,133.06,353.07,220.01,-3.493,3.77,0.276,180.01,260.01,-4.993,-1.993,False,False
I14-IMP,vpremoon,PKiKP,phase_absent,31.0,0.0,,,,,,,,,,,,,,
I14-IMP,vpremoon,PKKP,phase_absent,31.0,0.0,,,,,,,,,,,,,,
I14-IMP,vpremoon,PKPPKP,target,31.0,0.0,5.0,5.0,133.06,1057.35,924.29,-3.384,3.77,0.386,884.29,964.29,-4.884,-1.884,False,False
I14-IMP,vpremoon,PKP,phase_absent,31.0,0.0,,,,,,,,,,,,,,
I14-IMP,vpremoon,ScS,target,31.0,0.0,5.0,5.0,133.06,620.39,487.33,-3.281,3.77,0.488,447.33,527.33,-4.781,-1.781,False,False
I14-IMP,weber2011,PcP,target,31.0,0.0,5.0,5.0,134.45,367.01,232.56,-3.487,3.724,0.237,192.56,272.56,-4.987,-1.987,False,False
I14-IMP,weber2011,PKiKP,target,31.0,0.0,5.0,5.0,134.45,410.21,275.76,-3.532,3.724,0.192,235.76,315.76,-5.032,-2.032,False,False
I14-IMP,weber2011,PKKP,phase_absent,31.0,0.0,,,,,,,,,,,,,,
I14-IMP,weber2011,PKPPKP,phase_absent,31.0,0.0,,,,,,,,,,,,,,
I14-IMP,weber2011,PKP,phase_absent,31.0,0.0,,,,,,,,,,,,,,
I14-IMP,weber2011,ScS,target,31.0,0.0,5.0,5.0,134.45,684.35,549.9,-3.249,3.724,0.475,509.9,589.9,-4.749,-1.749,False,False
I15-IMP,vpremoon,PcP,target,34.0,0.0,17.0,17.0,144.31,353.94,209.63,-3.426,3.728,0.302,169.63,249.63,-4.926,-1.926,False,False
I15-IMP,vpremoon,PKiKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I15-IMP,vpremoon,PKKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I15-IMP,vpremoon,PKPPKP,target,34.0,0.0,17.0,17.0,144.31,1058.55,914.24,-3.313,3.728,0.414,874.24,954.24,-4.813,-1.813,False,False
I15-IMP,vpremoon,PKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I15-IMP,vpremoon,ScS,target,34.0,0.0,17.0,17.0,144.31,621.92,477.61,-3.195,3.728,0.533,437.61,517.61,-4.695,-1.695,False,False
I15-IMP,weber2011,PcP,target,34.0,0.0,17.0,17.0,145.58,367.75,222.17,-3.439,3.697,0.258,182.17,262.17,-4.939,-1.939,False,False
I15-IMP,weber2011,PKiKP,target,34.0,0.0,17.0,17.0,145.58,410.81,265.23,-3.487,3.697,0.21,225.23,305.23,-4.987,-1.987,False,False
I15-IMP,weber2011,PKKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I15-IMP,weber2011,PKPPKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I15-IMP,weber2011,PKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I15-IMP,weber2011,ScS,target,34.0,0.0,17.0,17.0,145.58,685.85,540.26,-3.178,3.697,0.52,500.26,580.26,-4.678,-1.678,False,False
I16-IMP,vpremoon,PcP,target,34.0,0.0,19.0,19.0,144.31,353.94,209.63,-3.426,3.728,0.302,169.63,249.63,-4.926,-1.926,False,False
I16-IMP,vpremoon,PKiKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I16-IMP,vpremoon,PKKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I16-IMP,vpremoon,PKPPKP,target,34.0,0.0,19.0,19.0,144.31,1058.55,914.24,-3.313,3.728,0.414,874.24,954.24,-4.813,-1.813,False,False
I16-IMP,vpremoon,PKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
