event_id,event_set,v14_catalogue_verdict,v14_event_type,v14_quality,v14_origin_time_utc,v14_distance_deg,v14_distance_uncertainty_deg,v14_distance_uncertainty_source,v14_baz_deg,v14_baz_verdict,v14_baz_uncertainty_deg_or_range,v14_baz_uncertainty_verdict,v14_magnitude_type,v14_magnitude,v14_magnitude_uncertainty,v14_preferred_depth_km,v14_preferred_depth_verdict,v14_alternate_depths_km,v14_alternate_depths_verdict,v14_pick_count,v14_pick_summary,bi2025_verdict,bi2025_role,bi2025_direct_p_filterbank_t_relative_to_mqs_p_s,bi2025_phase_evidence,per_event_literature_verdict,per_event_literature_notes,garcia2025_nest_verdict,garcia2025_nest_membership,other_repeater_verdict,other_repeater_membership,cerberus_family_verdict,cerberus_family_notes,primary_source_keys
S1015f,vespagram,PARTIALLY-VERIFIED,BROADBAND,A,2021-10-04T04:52:29.248537Z,27.49,2.0,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,89.0,VERIFIED,,NO-EVIDENCE,MW,2.9,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,14,S_spectral_start=2021-10-04T04:58:38.49562Z; S_spectral_end=2021-10-04T04:59:24.199389Z; P_spectral_end=2021-10-04T04:56:32.365918Z; S=2021-10-04T04:58:40.218707Z +2/-2s; start=2021-10-04T04:55:55.150429Z; P=2021-10-04T04:56:00.605894Z +5/-5s; P_spectral_start=2021-10-04T04:56:00.185082Z; noise_start=2021-10-04T04:51:53.0953Z; noise_end=2021-10-04T04:54:33.490191Z; Peak_MbP=2021-10-04T04:56:48.939946Z; Peak_MbS=2021-10-04T04:58:46.316509Z; Peak_M2.4=2021-10-04T04:57:01.09325Z; y1=2021-10-04T04:55:57.143781Z +2/-2s; end=2021-10-04T05:04:36.572705Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,3.5 +/- 2.2,PPrimePPrime_r_ab; PKiKP; Extended_Data_Fig_2_PKiKP_example,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab, PKiKP, Extended_Data_Fig_2_PKiKP_example | Bi2025: individual PKiKP example in Extended Data Fig. 2 | Cerberus/source-region: Ceylan et al. 2023 says these later events have V14 locations comparable with Stahler et al. 2022 Cerberus events and interprets the class as originating from Cerberus Fossae.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,PARTIALLY-VERIFIED,Ceylan et al. 2023 says these later events have V14 locations comparable with Stahler et al. 2022 Cerberus events and interprets the class as originating from Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Ceylan2023
S0918a,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,B,2021-06-27T05:31:55.541885Z,27.85,6.7,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,137.0,VERIFIED,,NO-EVIDENCE,MW,3.1,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,13,end=2021-06-27T05:44:09.705471Z; P_spectral_start=2021-06-27T05:35:19.597178Z; S_spectral_start=2021-06-27T05:38:04.691384Z; start=2021-06-27T05:35:04.667245Z; P=2021-06-27T05:35:24.641985Z +20/-20s; S=2021-06-27T05:38:02.674803Z +10/-10s; x1=2021-06-27T05:36:59.861759Z +10/-10s; noise_start=2021-06-27T05:31:55.092241Z; noise_end=2021-06-27T05:33:37.452981Z; P_spectral_end=2021-06-27T05:36:17.913816Z; S_spectral_end=2021-06-27T05:39:10.751893Z; Peak_MbP=2021-06-27T05:35:48.860645Z; Peak_MbS=2021-06-27T05:38:54.663488Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,7.2 +/- 2.4,PPrimePPrime_r_ab; PKKP,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab, PKKP | Garcia2025: S0918a/S0918b aftershock pair named, but doublet method not applicable because there is no energy above 1 Hz",NO-EVIDENCE,"Garcia et al. 2025 discusses the aftershock pair S0918a/S0918b, but states the doublet method is not applicable because these events do not have energy above 1 Hz; no Garcia nest/doublet membership is verified.",NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,NO-EVIDENCE,No primary event-level Cerberus-family classification verified in this pass.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025
S0235b,vespagram,PARTIALLY-VERIFIED,BROADBAND,A,2019-07-26T12:15:38.748239Z,28.75,1.5,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,77.0,VERIFIED,,NO-EVIDENCE,MW,3.7,+0.3/-0.3,,NO-EVIDENCE,Jacob2022:33 km; Jacob2022:21 km; Brinkman2021:32 km,VERIFIED,15,y2=2019-07-26T12:19:53.397626Z +5/-5s; y1=2019-07-26T12:19:20.973778Z +2/-2s; S=2019-07-26T12:22:05.323182Z +2/-2s; P=2019-07-26T12:19:18.032523Z +1/-1s; noise_start=2019-07-26T12:14:20.110142Z; Peak_MbS=2019-07-26T12:22:12.986741Z; S_spectral_start=2019-07-26T12:21:56.709379Z; noise_end=2019-07-26T12:18:41.542707Z; Peak_M2.4=2019-07-26T12:19:54.737051Z; Peak_MbP=2019-07-26T12:19:24.938301Z; start=2019-07-26T12:19:16.991001Z; P_spectral_start=2019-07-26T12:19:18.760537Z; P_spectral_end=2019-07-26T12:20:31.432704Z; S_spectral_end=2019-07-26T12:22:56.128041Z; end=2019-07-26T13:18:08.143567Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,2.9 +/- 2.0,PPrimePPrime_r_ab; PKKP; PKiKP; S0235b_PKKP_PKiKP_amplitude_ratio,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab, PKKP, PKiKP, S0235b_PKKP_PKiKP_amplitude_ratio | Bi2025: individual PKKP/PKiKP polarization and amplitude-ratio anchor for density jump estimate | V14 embedded alternate-origin/literature refs: Jacob2022, Brinkman2021, Khan2021, Stahler2021 | Sun2022: Sun and Tkalcic 2022 used S0235b as a matched-filter parent and reported 34 newly detected repetitive events associated with it. | Cerberus/source-region: Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae. | Garcia2025: S0235b/S0235c and S0235b/S0235e are not doublets under the MAVCF threshold; possible aftershocks on different segments not excluded | Garcia2025SI: Figures S9-S10 provide supporting pair-correlation plots for S0235b/S0235c and S0235b/S0235e.",REFUTED,Garcia et al. 2025 states S0235b/S0235c and S0235b/S0235e are not doublets because MAVCF values around the 2.4 Hz resonance are below threshold; possible aftershocks on different fault segments are not excluded. Garcia2025SI Figures S9-S10 provide the supporting pair-correlation plots for S0235b/S0235c and S0235b/S0235e.,VERIFIED,Sun and Tkalcic 2022 used S0235b as a matched-filter parent and reported 34 newly detected repetitive events associated with it.,VERIFIED,Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Garcia2025SI; Stahler2022; Stahler2022AuthorTable; Sun2022; Jacob2022; Brinkman2021; Khan2021; Stahler2021
S0864a,vespagram,PARTIALLY-VERIFIED,BROADBAND,A,2021-05-02T00:57:35.34519Z,28.75,3.5,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,90.0,VERIFIED,,NO-EVIDENCE,MW,3.1,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,15,end=2021-05-02T01:18:56.231764Z; y1=2021-05-02T01:02:47.670433Z +5/-5s; Peak_MbS=2021-05-02T01:05:49.015718Z; Peak_MbP=2021-05-02T01:03:07.636478Z; Peak_M2.4=2021-05-02T01:03:06.436221Z; S_spectral_start=2021-05-02T01:04:07.790636Z; noise_end=2021-05-02T00:55:01.773817Z; noise_start=2021-05-02T00:50:41.725297Z; start=2021-05-02T01:01:05.534422Z; P=2021-05-02T01:01:17.223068Z +10/-10s; P_spectral_end=2021-05-02T01:02:35.06288Z; P_spectral_start=2021-05-02T01:01:15.31867Z; S=2021-05-02T01:04:04.054802Z +5/-5s; x1=2021-05-02T01:05:43.467812Z +5/-5s; S_spectral_end=2021-05-02T01:05:35.256361Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,2.8 +/- 2.6,PPrimePPrime_r_ab; PPrimePPrime_n; PKiKP,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab, PPrimePPrime_n, PKiKP | Cerberus/source-region: Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,VERIFIED,Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable
S0474a,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,B,2020-03-28T00:32:48.989803Z,29.11,17.5,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,97.0,VERIFIED,,NO-EVIDENCE,MW,2.8,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,12,S_spectral_end=2020-03-28T00:39:28.390571Z; P_spectral_start=2020-03-28T00:35:42.420644Z; P_spectral_end=2020-03-28T00:37:40.706031Z; S_spectral_start=2020-03-28T00:37:55.014747Z; S=2020-03-28T00:37:58.926548Z +5/-5s; P=2020-03-28T00:35:20.557371Z +60/-60s; noise_start=2020-03-28T00:26:40.947513Z; noise_end=2020-03-28T00:30:17.394747Z; start=2020-03-28T00:34:17.978182Z; Peak_MbP=2020-03-28T00:36:10.765368Z; Peak_MbS=2020-03-28T00:38:02.328144Z; end=2020-03-28T00:41:57.447335Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,4.2 +/- 2.0,PPrimePPrime_n; PKKP,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_n, PKKP | Cerberus/source-region: Stahler et al. 2022 author table classifies this event as likely in Cerberus Fossae.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,PARTIALLY-VERIFIED,Stahler et al. 2022 author table classifies this event as likely in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable
S0916d,vespagram,PARTIALLY-VERIFIED,BROADBAND,B,2021-06-25T05:13:42.960151Z,29.29,5.9,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,97.0,VERIFIED,,NO-EVIDENCE,MW,2.9,+0.2/-0.2,,NO-EVIDENCE,,NO-EVIDENCE,14,end=2021-06-25T05:29:44.275525Z; y1=2021-06-25T05:17:41.185244Z +20/-20s; noise_start=2021-06-25T05:15:28.53228Z; noise_end=2021-06-25T05:15:59.493696Z; S_spectral_start=2021-06-25T05:20:24.356459Z; S_spectral_end=2021-06-25T05:21:05.428823Z; Peak_MbS=2021-06-25T05:20:48.004184Z; Peak_MbP=2021-06-25T05:18:03.627439Z; Peak_M2.4=2021-06-25T05:18:29.128432Z; P_spectral_start=2021-06-25T05:18:16.013636Z; P_spectral_end=2021-06-25T05:18:50.257826Z; P=2021-06-25T05:17:32.42962Z +20/-20s; start=2021-06-25T05:17:12.45543Z; S=2021-06-25T05:20:21.998887Z +2/-2s,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,2.4 +/- 2.4,direct-P only / stack membership only,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Cerberus/source-region: Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,VERIFIED,Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable
S0802a,vespagram,PARTIALLY-VERIFIED,BROADBAND,B,2021-02-28T06:07:21.541Z,30.01,3.5,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,82.0,VERIFIED,,NO-EVIDENCE,MW,2.9,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,15,end=2021-02-28T06:22:00.293157Z; y1=2021-02-28T06:12:01.301079Z +5/-5s; P=2021-02-28T06:11:10.703162Z +5/-5s; start=2021-02-28T06:11:05.70138Z; S=2021-02-28T06:14:05.203282Z +10/-10s; x1=2021-02-28T06:12:55.202783Z +20/-20s; Peak_M2.4=2021-02-28T06:12:23.075868Z; Peak_MbS=2021-02-28T06:14:32.600517Z; Peak_MbP=2021-02-28T06:11:38.609678Z; noise_start=2021-02-28T06:08:00.014137Z; P_spectral_start=2021-02-28T06:11:12.859497Z; P_spectral_end=2021-02-28T06:12:48.195097Z; S_spectral_start=2021-02-28T06:14:15.045331Z; S_spectral_end=2021-02-28T06:15:10.006111Z; noise_end=2021-02-28T06:10:00.217018Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,2.3 +/- 1.9,PPrimePPrime_r_ab; PPrimePPrime_n; PKKP; PKiKP,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab, PPrimePPrime_n, PKKP, PKiKP | Cerberus/source-region: Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,VERIFIED,Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable
S0173a,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,A,2019-05-23T02:19:09.852879Z,30.01,1.4,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,88.0,VERIFIED,,NO-EVIDENCE,MW,3.7,+0.3/-0.3,,NO-EVIDENCE,Jacob2022:36 km; Jacob2022:18 km; Brinkman2021:35 km,VERIFIED,13,P_spectral_end=2019-05-23T02:24:56.475446Z; P_spectral_start=2019-05-23T02:23:43.770382Z; S=2019-05-23T02:25:53.764513Z +2/-2s; start=2019-05-23T02:22:58.043698Z; P=2019-05-23T02:22:59.069095Z +1/-1s; noise_end=2019-05-23T02:17:09.132826Z; noise_start=2019-05-23T02:09:24.902459Z; Peak_MbS=2019-05-23T02:25:59.9828Z; Peak_MbP=2019-05-23T02:23:07.810382Z; Peak_M2.4=2019-05-23T02:24:23.111479Z; S_spectral_start=2019-05-23T02:25:51.537132Z; S_spectral_end=2019-05-23T02:27:55.310415Z; end=2019-05-23T03:00:23.609129Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,5.8 +/- 2.7,PPrimePPrime_r_ab,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab | V14 embedded alternate-origin/literature refs: Jacob2022, Brinkman2021, Khan2021, Stahler2021 | Sun2022: Sun and Tkalcic 2022 used S0173a as a matched-filter parent and reported 11 newly detected repetitive events associated with it. | Cerberus/source-region: Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,VERIFIED,Sun and Tkalcic 2022 used S0173a as a matched-filter parent and reported 11 newly detected repetitive events associated with it.,VERIFIED,Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable; Sun2022; Jacob2022; Brinkman2021; Khan2021; Stahler2021
S0820a,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,A,2021-03-18T14:51:33.869889Z,30.19,2.4,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,106.0,VERIFIED,,NO-EVIDENCE,MW,3.3,+0.3/-0.3,,NO-EVIDENCE,Jacob2022:30 km; Jacob2022:21 km,VERIFIED,14,end=2021-03-18T15:03:37.496253Z; P_spectral_start=2021-03-18T14:55:20.068255Z; S_spectral_end=2021-03-18T14:59:29.199546Z; P_spectral_end=2021-03-18T14:56:14.710057Z; start=2021-03-18T14:54:19.835741Z; noise_end=2021-03-18T14:54:10.36157Z; x1=2021-03-18T14:54:40.314238Z +20/-20s; Peak_MbS=2021-03-18T14:58:26.422633Z; Peak_MbP=2021-03-18T14:55:33.712837Z; x2=2021-03-18T14:57:30.289936Z +10/-10s; P=2021-03-18T14:55:23.391411Z +5/-5s; noise_start=2021-03-18T14:51:11.578342Z; S=2021-03-18T14:58:19.050626Z +5/-5s; S_spectral_start=2021-03-18T14:58:14.766257Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,7.9 +/- 3.0,direct-P only / stack membership only,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | V14 embedded alternate-origin/literature refs: Jacob2022 | Cerberus/source-region: Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,VERIFIED,Stahler et al. 2022 author table classifies this event under Events in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable; Jacob2022
S1048d,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,A,2021-11-07T22:00:15.254098Z,30.19,1.3,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,97.0,VERIFIED,,NO-EVIDENCE,MW,3.6,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,12,start=2021-11-07T22:04:04.40886Z; P_spectral_start=2021-11-07T22:04:04.695503Z; S_spectral_end=2021-11-07T22:08:01.298101Z; S=2021-11-07T22:07:00.878113Z +1/-1s; S_spectral_start=2021-11-07T22:07:00.132516Z; P=2021-11-07T22:04:05.355199Z +1/-1s; noise_end=2021-11-07T21:59:33.494343Z; noise_start=2021-11-07T21:58:01.126964Z; P_spectral_end=2021-11-07T22:04:50.474097Z; Peak_MbP=2021-11-07T22:04:11.619593Z; Peak_MbS=2021-11-07T22:07:32.184048Z; end=2021-11-07T22:24:09.556343Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,2.7 +/- 2.2,PPrimePPrime_r_ab; PKKP,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab, PKKP | Cerberus/source-region: Ceylan et al. 2023 says these later events have V14 locations comparable with Stahler et al. 2022 Cerberus events and interprets the class as originating from Cerberus Fossae.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,PARTIALLY-VERIFIED,Ceylan et al. 2023 says these later events have V14 locations comparable with Stahler et al. 2022 Cerberus events and interprets the class as originating from Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Ceylan2023
