mode,input_type,norm_variant,polarization_operator,stack_method,power_window_s,phase,peak_label,time_s,slowness_sdeg,power,support_count,minimum_support,status,excluded_reason,paper_time_s,paper_slowness_sdeg,dt_vs_paper_s,ds_vs_paper_sdeg,within_published_tolerance,grid_coordinate_miss_norm,median_distance_error_deg,max_distance_error_deg,distance_uncertainty_moveout_s,uncertainty_folded_time_tolerance_s,within_uncertainty_folded_tolerance,local_max_neighbor_check,box_peak_background_quantile,target_box_rank,published_target_box,box_occupancy_in_band,box_supported_cell_fraction,box_valid_cell_count,box_total_cell_count,normalization_lane,current_provenance_status
ablation,envelope,C,not_applicable,nth_root,1.0,PKiKP,global,662.1,-3.4343434343434343,0.28309964879170846,23,2,ok,,604.0,-6.5,58.10000000000002,3.0656565656565657,False,29.49591074193136,3.5,17.5,22.75,24.75,False,True,0.8825751114207802,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKiKP,published_target,589.15,-7.070707070707071,0.18063588673336425,23,2,ok,,604.0,-6.5,-14.850000000000023,-0.5707070707070709,False,7.485677353852917,3.5,17.5,22.75,24.75,True,False,0.8095361553742438,19912,PKIKP_PUBLISHED,0.23574698293799418,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,peak_1,1200.0,-3.9393939393939394,0.061388545127203036,23,2,ok,,1290.0,-8.0,-90.0,4.0606060606060606,False,4.040820685588548,3.5,17.5,28.0,58.0,False,False,0.5145288765749345,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,peak_2,1214.65,-6.0606060606060606,0.061061492988215595,23,2,ok,,1341.0,-7.0,-126.34999999999991,0.9393939393939394,False,4.257973812526851,3.5,17.5,24.5,54.5,False,True,0.5122490233959066,4,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,1.0,PKKP,paper_target,1344.85,-7.575757575757576,0.04958091034387404,23,2,ok,,1341.0,-7.0,3.849999999999909,-0.5757575757575761,False,1.6324077042099436,3.5,17.5,24.5,29.5,False,True,0.410985799515766,19131,PKKP_PUBLISHED,0.15137328339575531,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKiKP,global,663.6,-3.6363636363636367,0.25341144818412226,23,2,ok,,604.0,-6.5,59.60000000000002,2.8636363636363633,False,30.179776765573255,3.5,17.5,22.75,24.75,False,True,0.8618533035264773,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKiKP,published_target,588.9,-7.070707070707071,0.16442978540540942,23,2,ok,,604.0,-6.5,-15.100000000000023,-0.5707070707070709,False,7.609680705915748,3.5,17.5,22.75,24.75,True,False,0.793230334409773,41325,PKIKP_PUBLISHED,0.4712858926342072,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,peak_1,1200.0,-3.9393939393939394,0.05612214776901656,23,2,ok,,1290.0,-8.0,-90.0,4.0606060606060606,False,4.040820685588548,3.5,17.5,28.0,58.0,False,False,0.4748928929869069,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,peak_2,1215.05,-6.0606060606060606,0.055580350482091485,23,2,ok,,1341.0,-7.0,-125.95000000000005,0.9393939393939394,False,4.244785937456817,3.5,17.5,24.5,54.5,False,True,0.47015342813427935,21,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,10.0,PKKP,paper_target,1342.55,-7.171717171717171,0.045305869837745316,23,2,ok,,1341.0,-7.0,1.5499999999999545,-0.17171717171717127,True,0.5295209336191511,3.5,17.5,24.5,29.5,True,True,0.3630372414606524,45096,PKKP_PUBLISHED,0.2818352059925094,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKiKP,global,664.8,-3.737373737373738,0.226552431332181,23,2,ok,,604.0,-6.5,60.799999999999955,2.762626262626262,False,30.74671183263847,3.5,17.5,22.75,24.75,False,True,0.8396969223729431,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKiKP,published_target,584.0,-7.070707070707071,0.15873112490385968,23,2,ok,,604.0,-6.5,-20.0,-0.5707070707070709,False,10.045135163151675,3.5,17.5,22.75,24.75,True,False,0.7859017356632771,48644,PKIKP_PUBLISHED,0.700374531835206,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKKP,peak_1,1217.05,-6.0606060606060606,0.05128718828538418,23,2,ok,,1290.0,-8.0,-72.95000000000005,1.9393939393939394,False,2.7540277657083316,3.5,17.5,28.0,58.0,False,True,0.4299869058058936,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKKP,peak_2,1200.0,-3.8383838383838382,0.050791897267311266,23,2,ok,,1341.0,-7.0,-141.0,3.1616161616161618,False,5.150979054871997,3.5,17.5,24.5,54.5,False,False,0.42428050188222216,411,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,20.0,PKKP,paper_target,1341.6,-7.272727272727273,0.04185909055142127,23,2,ok,,1341.0,-7.0,0.599999999999909,-0.2727272727272734,True,0.6922976477338697,3.5,17.5,24.5,29.5,True,True,0.3229039187570235,88064,PKKP_PUBLISHED,0.5312734082397004,1.0,16020,16020,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKiKP,global,662.55,-3.5353535353535355,0.2683050516369007,23,2,ok,,604.0,-6.5,58.549999999999955,2.9646464646464645,False,29.6890530545978,3.5,17.5,22.75,24.75,False,True,0.8716729662226581,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKiKP,published_target,589.1,-7.070707070707071,0.17402630494878135,23,2,ok,,604.0,-6.5,-14.899999999999977,-0.5707070707070709,False,7.5104753808255085,3.5,17.5,22.75,24.75,True,False,0.8038911270726559,26871,PKIKP_PUBLISHED,0.34384103204327926,1.0,9612,9612,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKKP,peak_1,1200.0,-3.9393939393939394,0.0594734538594683,23,2,ok,,1290.0,-8.0,-90.0,4.0606060606060606,False,4.040820685588548,3.5,17.5,28.0,58.0,False,False,0.5010461158077174,1,,nan,nan,0,0,ablation_full_window,current
ablation,envelope,C,not_applicable,nth_root,5.0,PKKP,peak_2,1214.85,-6.0606060606060606,0.05891059452689678,23,2,ok,,1341.0,-7.0,-126.15000000000009,0.9393939393939394,False,4.251379761566048,3.5,17.5,24.5,54.5,False,True,0.49679394281583056,9,,nan,nan,0,0,ablation_full_window,current
